,Image_id,Text,label_list,object_list
49,01527.png,"oh no i can't rủn anymore
","['Human leg', 'Skin', 'Thigh', 'Leg', 'Joint', 'Muscle', 'Knee', 'Tan', 'Human', 'Calf']","['Person', 'Shorts']"
50,01529.png,"accèptance of individuality is
nota disgusting thing
","['Fun', 'Public event', 'Block party', 'Festival', 'Event', 'Spring break', 'Parade', 'Summer', 'Crowd', 'Photo caption']","['Person', 'Person', 'Shorts', 'Person', 'Person', 'Person', 'Swimwear']"
51,01546.png,"kill the jews and muslims
for being anti-white
","['Poster', 'Photography', 'National historic landmark', 'Photo caption']","['Hat', 'Person', 'Clothing']"
52,01547.png,"how mexicans be like.
when they hear their friends kid is lhaving a birthday party
","['Meal', 'Eating', 'Food', 'Lunch', 'Dish', 'Brunch', 'Community', 'Cuisine', 'Taste', 'Picnic']","['Person', 'Person', 'Food', 'Food', 'Food', 'Food', 'Food', 'Person', 'Packaged goods', 'Food']"
53,01548.png,"what are they fighting over? is it:
a) the last pan ducle
b) he accidentally touch the homies hand passing a beer?
c) foo used the last of the three ilowers.
d) homie said ""i got you on gas"" but he only has $3!
","['Text', 'Photo caption', 'Forehead', 'Human', 'Font', 'Adaptation', 'Photography', 'Cool', 'Smile', 'Media']","['Person', 'Person', 'Clothing', 'Top', 'Clothing']"
54,01564.png,"puts on sunblock
doesn't protect
from harmful rays
","['Hair', 'Face', 'Facial expression', 'Chin', 'Nose', 'Skin', 'Hairstyle', 'Forehead', 'Smile', 'Internet meme']","['Clothing', 'Person']"
55,01568.png,"do you think a terrorist
has or could infiltrate our
goverment ???
","['Nose', 'Forehead', 'Cheek', 'Human', 'Turban', 'Headgear', 'Photo caption', 'Adaptation', 'Photography', 'Smile']","['Scarf', 'Person', 'Person']"
56,01569.png,"when you can't decide to pre heat the oven
or just throw the meal in right away
","['Hairstyle', 'Fun', 'Photo caption', 'Shoulder', 'Photography', 'Happy', 'Leisure']","['Person', 'Person', 'Glasses']"
57,01576.png,"when your ex ask you
for help
","['Poster', 'Adventure', 'Photography', 'Adaptation', 'Landscape', 'Movie', 'Photo caption', 'Recreation']","['Person', 'Person', 'Animal']"
58,01578.png,"sea monkeys
","['Fun', 'Adaptation', 'Recreation', 'Mud', 'Leisure', 'Tourism']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person']"
59,01579.png,"muslim figure: ""we must have
pork-free menus or we will leave
u.s""
bàcon america great again!
","['People', 'Photo caption', 'Headgear', 'Dastar', 'Event', 'Turban']","['Person', 'Person', 'Person', 'Person', 'Backpack', 'Glasses', 'Person', 'Luggage & bags', 'Person', 'Person']"
60,01589.png,"has an orgasm.
shoots out tranny fluid
","['Television presenter', 'Media', 'Photo caption', 'Newscaster', 'Musical instrument']","['Person', 'Necklace', 'Microphone']"
61,01598.png,"men are like dogs
we're excited to see you.
and have no clue what you're mad about
","['Dog breed', 'Canidae', 'Dog', 'Companion dog', 'Photo caption', 'Font', 'Puppy love', 'Puppy', 'Non-Sporting Group', 'Carnivore']","['Couch', 'Dog']"
62,01627.png,"jew jerky: leave out in the sun
until all moisture is gone
store in a cool dark
place for 3 days
","['Text', 'Font', 'Photo caption', 'Photography', 'Human', 'Happy']",['Shoe']
63,01634.png,"aye tone! why would dey delouse 'em
if dey was just gonna whack 'em?!""
","['Sheep shearer', 'Sheep', 'Sheep', 'Cow-goat family', 'Livestock']","['Person', 'Footwear', 'Hammer', 'Glasses', 'Glasses']"
64,01637.png,"this time jesus
you're not getting away
","['Photography', 'Machine']","['Stapler', 'Home appliance']"
65,01642.png,"this would be
racist
LAKERS
if black people could
read
","['Photo caption', 'Internet meme', 'Photography', 'T-shirt']","['Glasses', 'Person', 'Glasses']"
66,01643.png,"i'm not a racist
my shadow is black
","['Nose', 'Text', 'Photo caption', 'Fun', 'Photography', 'Media', 'Tooth', 'Conversation', 'Jaw', 'Leisure']","['Person', 'Person', 'Person', 'Person', 'Clothing']"
67,01649.png,"american cops when they graduate police academy
let the black man come
forth! let murder be done upon him!
","['Face', 'Chin', 'Text', 'Forehead', 'Skin', 'Photo caption', 'Cheek', 'Human', 'Internet meme', 'Media']","['Tie', 'Person']"
68,01653.png,"a girl asks her mom, ""wliy am i black andyou're white?""
she says, ""the waythatuartywent, you're lucky you don't bark.
","['Photo caption', 'Photography', 'Gesture', 'Internet meme']","['Cat', 'Person']"
69,01658.png,"first rule of fight club.
","['Hair', 'Face', 'Eyebrow', 'Hairstyle', 'Facial expression', 'Skin', 'Lip', 'Beauty', 'Chin', 'Nose']","['Person', 'Person']"
70,01672.png,"when the new call of duty comes out
and you're already camping
","['Gun', 'Shooting sport', 'Shooting', 'Recreation', 'Shooting range', 'Sport venue', 'Trigger', 'Practical shooting', 'Airsoft gun', 'Air gun']","['Person', 'Outerwear', 'Window']"
71,01682.png,"fuck allah fuck islam and
guck the child raper
muhammad
and yes that's pork in the
quran
","['Food', 'Animal fat', 'Dish', 'Cuisine', 'Ingredient', 'Red meat', 'Meat', 'Veal', 'Recipe', 'Pork']","['Packaged goods', 'Food']"
72,01694.png,"which one should we butcher first
","['Selfie', 'Dairy cow', 'Photography', 'Photo caption', 'Headgear', 'Bovine', 'Farm']","['Hat', 'Hat', 'Hat', 'Person', 'Person', 'Person', 'Hat', 'Animal', 'Animal', 'Animal']"
73,01698.png,"this guy
cut her head off
workplace violence my ass
","['Hair', 'Hairstyle', 'Internet meme', 'Chin', 'Nose', 'Facial hair', 'Photo caption', 'Forehead', 'Human', 'Font']","['Person', 'Person', 'Hat', 'Clothing', 'Clothing']"
74,01726.png,"a real man
loads the dishwasher every night
","['Text', 'Photo caption', 'Human', 'Font', 'Adaptation', 'Photography', 'Organism', 'Hand', 'Leg', 'Finger']","['Bed', 'Person']"
75,01734.png,"and that was the last time
PIE
Tittle Jack Jelf
Was put on the shelf
Because he would not spell
PYCKLE
Law his sorrouful face,
we let uncle larry babysit
","['Cartoon', 'Poster', 'Photo caption', 'Humour']","['Person', 'Person', 'Container']"
76,01736.png,"korean war soldiers come home
insņbc no live coverage
nbc no coverage
cnn 58 seconds
abc 24 seconds
NA
cbc no-coverage
share
if they should be ashamed
","['Furniture', 'Flag of the united states', 'Table', 'Advertising']",['Table']
77,01742.png,"in just one hour from now
Til only bave 4 hours leit until i have to
work a mere 3hours
","['Job', 'Real estate', 'Font', 'White-collar worker', 'Photography', 'Photo caption']","['Tie', 'Person', 'Shirt', 'Window']"
78,01743.png,"sen mitt romney
wall declaration let's make this his last to
utah voted against trumps emergency
","['Facial expression', 'Forehead', 'Chin', 'Nose', 'Smile', 'Photo caption', 'Laugh', 'Photography', 'Wrinkle', 'Tooth']","['Person', 'Shirt']"
79,01746.png,"everyone told me you gonna be a blessing
","['Friendship', 'Happy', 'Love', 'Grass', 'Interaction', 'Photo caption', 'Adaptation', 'Fun', 'Human', 'Smile']","['Person', 'Clothing']"
80,01749.png,"so then we told them
cannabis is dangerous and
pharmaceuticals are good for you
","['People', 'Event', 'Photo caption', 'Community', 'Font', 'Media', 'Photography', 'Conversation', 'Gesture']","['Tie', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Outerwear']"
81,01756.png,"she is a fast
56
runner
","['Sports', 'Athlete', 'Running', 'Athletics', 'Recreation', 'Track and field athletics', 'Exercise', 'Championship', 'Sprint', 'Individual sports']","['Person', 'Shoe', 'Shoe', 'Person', 'Top']"
82,01763.png,"want a spin ?
","['Floor', 'Product', 'Wood flooring', 'Hardwood', 'Wood', 'Flooring', 'Laminate flooring', 'Wood stain', 'Household cleaning supply', 'Mop']",[]
83,01765.png,"after a girl dies, what organ in her body stays warm?
my dick
","['Poster', 'Adaptation', 'Album cover']","['Person', 'Hat', 'Bracelet', 'Top']"
84,01793.png,"don't mind me
I'm only watering
my muslims
","['Font', 'Photography', 'Photo caption']",['Person']
85,01794.png,"i beat childrem
","['Hair', 'Facial hair', 'Face', 'Forehead', 'Eyebrow', 'Beard', 'Hairstyle', 'Chin', 'Head', 'Moustache']","['Person', 'Clothing']"
86,01796.png,"life hack #23
how to get stoned with no weed
","['Photograph', 'Facial expression', 'Photo caption', 'Friendship', 'Text', 'Snapshot', 'Photography', 'Forehead', 'Fun', 'Cheek']","['Person', 'Scarf', 'Scarf']"
87,01823.png,"i too was once a male
trapped in a female's body
but theni was born
","['Hair', 'Facial hair', 'Face', 'Forehead', 'Beard', 'Eyebrow', 'Chin', 'Moustache', 'Nose', 'Hairstyle']","['Person', 'Clothing', 'Glasses']"
88,01827.png,"if your man is offended by
this then he's never been hunting
","['Soil', 'Adaptation', 'Photo caption']","['Dog', 'Animal']"
89,01829.png,"him: the dishwasher is acting weird
her: what's it doing
him: chopping fucking vegetables
","['Gesture', 'Finger', 'Shout', 'Sign language', 'Hand', 'Thumb', 'Photo caption']","['Person', 'Top']"
90,01835.png,"that makes
my lady'junk tingle
","['Facial expression', 'Photo caption', 'Internet meme', 'Nose', 'Photography', 'Smile']","['Person', 'Clothing']"
91,01836.png,"can you hear me at the back?
","['Suit', 'Formal wear', 'Tuxedo']",['Person']
92,01842.png,"it's a wiener pit
kinda like your mouth
","['Dog', 'Mammal', 'Vertebrate', 'Dog breed', 'Canidae', 'American pit bull terrier', 'Carnivore', 'Vizsla', 'Pit bull', 'Photo caption']","['Dog', 'Dog', 'Animal']"
93,01845.png,"when you consume too much trans fat
","['Physical fitness', 'Fun', 'Muscle', 'Sitting', 'Vacation', 'Photography', 'Photo caption', 'Happy', 'Wave']","['Person', 'Brassiere', 'Swimwear']"
94,01854.png,"when anindian goes for
walk with his dog
مركز خدمات شاي
","['Adaptation', 'Font', 'Soil', 'Photo caption', 'Sitting']","['Person', 'Person', 'Animal']"
95,01865.png,"im this pretty
because
both my parents
are white
","['Hair', 'Facial expression', 'Text', 'Internet meme', 'Photo caption', 'Smile', 'Surfer hair', 'Forehead', 'Blond', 'Font']","['Person', 'Clothing']"
96,01875.png,"does anyone know if he had a donor card?
i need parts for my go-cart
","['Walking', 'Adaptation', 'Pedestrian', 'Tree', 'Font', 'Photography', 'Photo caption', 'Tourism', 'Plant', 'Leisure']","['Pants', 'Pants', 'Person', 'Pants', 'Person', 'Luggage & bags', 'Outerwear', 'Person', 'Outerwear', 'Outerwear']"
97,01892.png,"i did not divide
the country
KE HOUSE
THE
the republicandecision to
obstruct every single thing i
proposed to help us dig out of
*the financial crisis they caused
divided the country
","['Text', 'Font', 'Photo caption', 'News', 'Job', 'Media', 'Advertising']","['Tie', 'Person', 'Outerwear', 'Coat', 'Flag']"
98,01894.png,"we haven'tt seen any new jesus
appearances on pancakes in a
while
i hope he's okay.
","['Facial expression', 'Text', 'Photo caption', 'Font', 'Photography', 'Smile', 'Window']","['Person', 'Clothing']"
99,01896.png,"terrorism is just part and parcel
of living in a big city. sadig khan
london mayor
tokyo:
over 13 million people
no islamic terrorism
","['White-collar worker', 'Photo caption', 'Photography']","['Person', 'Person', 'Clothing']"
100,01924.png,"whats the difference between
a feministand a suicide vest?
AL
#ME TOO
FIGHT
LIKE A
GIRL
a suicide vest actually accomplishes
something when its triggered
","['Photography', 'Photo caption']","['Jeans', 'Person', 'Person', 'Shoe', 'Pants', 'Person', 'Person', 'Pants', 'Person', 'Shoe']"
101,01925.png,"i am not racist
i just don't like brown sugar
","['Text', 'Adaptation', 'Sitting', 'Job', 'Learning', 'Photo caption', 'Happy', 'Coffee cup', 'Cup', 'Drinkware']","['Glasses', 'Mug', 'Person', 'Table top', 'Top', 'Clothing']"
102,01936.png,"we said we would never forget
why are you voting them into our góvernement?
","['Metropolitan area', 'Metropolis', 'City', 'Cityscape', 'Urban area', 'Skyscraper', 'Tower block', 'Landmark', 'Human settlement', 'Skyline']","['Building', 'Building', 'Building', 'Building']"
103,01937.png,"when you find a shooter the same day you plan a bombing,
so you team up
","['Child', 'Learning', 'Play', 'Adaptation', 'Photo caption', 'Toddler', 'Photography', 'Happy', 'Sharing', 'Leisure']","['Person', 'Person', 'Jeans', 'Person', 'Scarf', 'Footwear', 'Person', 'Luggage & bags', 'Footwear']"
104,01943.png,"person i chase: ""shows clear signs he
doesn't want to do anything with me
me: i'm gonna'pretend i didn't see that
","['Photo caption', 'Music', 'Font', 'Music artist', 'Eyewear', 'Album cover', 'Photography', 'Microphone', 'Audio equipment']","['Person', 'Microphone', 'Glasses', 'Clothing']"
105,01953.png,"muslim +hunt
20
ENTURY
WADBALLS
www
less muslims
%3D
","['Dinosaur', 'Velociraptor', 'Tyrannosaurus', 'Adaptation', 'Photo caption', 'Organism', 'Technology', 'Photography', 'World', 'Tourist attraction']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Animal', 'Footwear', 'Person']"
106,01954.png,"the best part about
a prostitute
dying on you
is you get
the second hour free
","['Photo caption', 'Photography', 'Font', 'Adaptation']","['Person', 'Person', 'Dress', 'Footwear']"
107,01956.png,"i am
a crocodile!
","['Swimming', 'Recreation', 'Swimmer', 'Fun', 'Swimming pool', 'Leisure', 'Individual sports', 'Photography', 'Photo caption', 'Water polo']","['Dog', 'Ball']"
108,01962.png,"i put makeup for
my profile photo
","['Orangutan', 'Common chimpanzee', 'Photo caption', 'Human', 'Primate', 'Adaptation', 'Mouth', 'Organism', 'Internet meme', 'Friendship']",[]
109,01967.png,"when you decide to stop racism by burning its symbol
","['Fire', 'Heat', 'Flame', 'Event', 'Bonfire', 'Gas flare', 'Dance', 'Poi']","['Person', 'Person']"
110,01972.png,"you don't have a cat?
this is your lucky day!
i'm moving in!
","['Cat', 'Photo caption', 'Felidae', 'Facial expression', 'Whiskers', 'Small to medium-sized cats', 'Internet meme', 'Text', 'Nose', 'Photography']","['Cat', 'Animal']"
111,01974.png,"hiroshima
hiroshima
nagasáki
everybody needsa triend
","['Text', 'Font', 'Poster', 'Photo caption', 'Advertising']","['Person', 'Clothing']"
112,01975.png,"valentine in islamic countries
","['Canidae', 'Dog', 'Adaptation', 'Hunting dog', 'Sporting Group', 'Pointer', 'Dog breed', 'Photo caption', 'Carnivore', 'Jungle']","['Person', 'Animal', 'Dog', 'Pants']"
113,02139.png,"TELEVISION ROYAL TELEVISION
SOCIETY
no less
ROYAL TELEVISION
TELEVISION
-CIETY
ROYAL TELEVISON RO
SOCIETY
EROTAL TELEVISION ROYAL TELE
SOCIET
SOCIETY
TELEVISION
ETY
ROYAL TELE
SOCIET
ON ROYAL TELIVISION
SOCIETY
ROYAL TELEVISION
SOCIETY
L TELEVISION ROYAL TELEV
sOCIETY
SOCIETY
ELEVISION
TY
ROYAL TELEVIS
SOCIETY
ROTAL TELEVISON
SOCIETY
RO
ROYAL TELEVISION
SOCIETY
4TELEVON ROVAL TELIVE
OCIETY
SOCHTY
ROYAL TELEVI
SOCIETY
TELEVISION
KIETY
ROYAL TELEVISON
VOCIETY
ROT
beautiful
","['Clothing', 'Dress', 'Orange', 'Red carpet', 'Carpet', 'Fashion', 'Premiere', 'Fashion model', 'Pattern', 'Flooring']","['Dress', 'Person']"
114,02143.png,"doesnt have food,
water, electricity
proud of nuclear weapons
","['Facial hair', 'Beard', 'Photo caption', 'Internet meme', 'Photography', 'Moustache']","['Person', 'Clothing']"
115,02145.png,"and then i asked mom, what's for dinner?
","['Electronics', 'Technology', 'Font', 'Electronic device', 'Electronic component', 'Circuit component']","['Packaged goods', 'Table top', 'Packaged goods']"
116,02146.png,"tom te boton ai nybeatuut Ke o sherap apologte.
for being wite
","['Bird', 'Vertebrate', 'Parrot', 'Lovebird', 'Parakeet', 'Beak', 'Budgie', 'Adaptation', 'lorikeet', 'Macaw']","['Parrot', 'Parrot', 'Parrot', 'Parrot', 'Bird']"
117,02153.png,"when you're arguing with someone
KERMIT THE FROG
HOLLYWOOD WALK OF F
hesi Te
Hermit The
the eies of the pla t
ellyd
HOLLYWOOD CHAN
and trying notto-hit them
","['Organism', 'Adaptation', 'Toy', 'Amphibian', 'Photo caption', 'Tree frog']",['Packaged goods']
118,02156.png,"never forget
","['Hair', 'Facial expression', 'Skin', 'Hairstyle', 'Fun', 'Cheek', 'Forehead', 'Smile', 'Happy', 'Photography']","['Person', 'Clothing']"
119,02157.png,"mohammed
i'm pregnant.
don't sass me, you know it's
funny! -cupcakes
","['Goats', 'Goat', 'Mammal', 'Cow-goat family', 'Livestock', 'Goat-antelope', 'Snout', 'Photo caption', 'Adaptation', 'Feral goat']",['Goat']
120,02158.png,"ilike my women like ilike my chickens
held in captivity untii behead them
","['Chicken', 'Bird', 'Rooster', 'Fowl', 'Galliformes', 'Organism', 'Adaptation', 'Poultry', 'Livestock', 'Photo caption']",['Chicken']
