,index,Image_id,Hate_label,FB_text,google_raw_text,label_list,object_list,Semi_cleaned_text,Sarcasm_label,Category
19,26,76825.png,0,two woman walking home together after a nice day out together,"two woman walking home together
open
after a nice day out together
","['People', 'Snapshot', 'Human', 'Pedestrian', 'Photo caption', 'Walking', 'Photography', 'Organism', 'Adaptation', 'Crowd']","['Person', 'Pants', 'Person', 'Person', 'Person', 'Person', 'Pants', 'Person', 'Outerwear', 'Outerwear']",two women walking home together open after a nice day out together,0,2
20,27,72598.png,0,texas churches be like... pew pew pew,"AN texas churches be like.
pew pew peW
","['Photo caption', 'Font', 'Photography', 'Event', 'Job', 'Gesture']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Top', 'Luggage & bags']",the texas church is like pew pew pew,1,2
21,30,01569.png,0,when you can't decide to pre heat the oven or just throw the meal in right away,"when you can't decide to pre heat the oven
or just throw the meal in right away
","['Hairstyle', 'Fun', 'Photo caption', 'Shoulder', 'Photography', 'Happy', 'Leisure']","['Person', 'Person', 'Glasses']",when you can not decide to preheat the oven or just throw the meal in right away,1,5
22,32,06418.png,0,1 bomb every minute,"1 bomb every minute
","['Hand', 'Finger', 'Font', 'Thumb', 'Gesture', 'Photo caption']","['Packaged goods', 'Person', 'Sunglasses']",bombing every minutest,1,5
23,34,70193.png,0,that chiken is so black no one is going to eat it,"that chiken is so black
no oñe is going to eat it
","['Photo caption', 'Human', 'Photography', 'Font', 'Poster', 'Fictional character', 'Movie']","['Hat', 'Person', 'Person', 'Clothing']",that chi kennel is so black no one is going to eat it,0,3
24,36,78395.png,0,say the damn pronouns,"say the damn pronouns
","['Suit', 'Photography', 'Photo caption']","['Person', 'Person', 'Suit', 'Coat']",say the damn pronoun,0,5
25,37,04876.png,0,goin,"goin
",[],['Lighting'],go,1,5
26,39,86354.png,0,officer down,"officer down
","['Yellow', 'Text', 'Logo', 'Font', 'Line', 'Brand', 'Graphics', 'Graphic design', 'Trademark']",[],officer downing,0,5
27,40,74386.png,1,we said we would never forget why are you voting them into our government?,"we said we would never forget
why are you voting
them into.our government?
","['Logo', 'Font', 'Label', 'Poster', 'Graphics', 'Clip art', 'Emblem']",['Packaged goods'],we said we would never forget why are you voting them into our government,1,5
28,42,10263.png,0,"rep. dan crenshaw former navy seal decorated war hero literally lost an eye ""doing something about terrorism"" rep.ocasio-cortez former bartender supports socialism told dan crenshawn he should ""do something about terrorism""","rep. dan crenshaw
former navy seal
decorated war hero
literally lostan eye
""doing something
about terrorism""
rep:ocasio-cortez
former bartender
supports socialism
told dan crenshawn he
should ""do something
about terrorism""
","['Photo caption', 'Internet meme', 'Media', 'Font', 'Photography', 'Advertising']","['Tie', 'Person', 'Person', 'Microphone', 'Clothing']",rep dan crenshaw former navy seal decorated war hero literally lost an eye doing something about terrorism rep o casio co rte z former bartenders support socialism told dan crenshaw n he should do something about terrorism,0,5
29,48,08295.png,0,please consider donating water to children in need,"please
consider donating
water to children in need
","['Photo caption', 'Nose', 'Mouth', 'Adaptation', 'Human', 'Muscle', 'Photography', 'Hand', 'Neck', 'Chest']",['Person'],please consider donating water to children in need,0,5
30,49,02497.png,0,you're a wizard motherfucker,"you're a wizard motherfucker
SA
KANGAL
フ
","['Headgear', 'Smile', 'Photo caption', 'Jacket', 'Leather jacket', 'Leather']","['Hat', 'Person', 'Jacket']",you be a wizard motherfucker the kan gal,0,5
31,51,69357.png,1,hey look at me! i'm a serial pedofile,"hey look at me!
i'ma serial pedofilet
","['Moustache', 'Photo caption', 'Facial hair', 'Smile', 'Internet meme', 'Beard', 'Headgear', 'Photography', 'Humour']","['Glasses', 'Hat', 'Person']",hey look at me i am a serials ped of i let,0,5
32,53,15320.png,0,obama working to legalize medical cannabis for all of the usa,"obama working to legalize
!!
TARS
BUSH
GUILTY
Cy and County ol tan Francon
Departen ef Public He
ATES
HT
Medical Cannabis Velurtary
dentitestion Card Pregram
PATIENT
Cant No
01-Dec-04
01-Dec
medical caninabis for all of the usa
","['Job', 'Photo caption', 'Media', 'Businessperson', 'White-collar worker', 'Business']","['Tie', 'Person', 'Person', 'Packaged goods', 'Glasses', 'Person']",obama working to legalize tar bush guilty cy and county ol tans francs on de par ten ef public he ate s medical cannabis vel urns tar y dent i test ion card p re gram patient can not no dec dec medical can in a bib for all of the u a,1,4
33,55,82457.png,0,ring ring hello? i've been waiting for your call all damn day!!!,"ring ring hello?
i've been waiting for
your call all damn day!!
","['Facial expression', 'Text', 'Photo caption', 'Font', 'Smile', 'Photography', 'Internet meme', 'Child']","['Person', 'Hat', 'Clothing', 'Person']",ringing ring hello i have been waiting for your call all damn day,1,5
34,56,81059.png,0,i like my refugees like this '' '' '',"i like my refugees like this""""""
","['People', 'Social group', 'Youth', 'Product', 'Community', 'Child', 'Fun', 'Photo caption', 'Photography', 'Student']","['Person', 'Person', 'Person', 'Person', 'Person', 'Luggage & bags', 'Clothing', 'Luggage & bags', 'Top']",i like my refugees like this,0,5
35,58,74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"whal's the difference between a jew and a jizza?
a pizza doesn't scream when youputit in the oven
","['Food', 'Pepperoni', 'Cuisine', 'Dish', 'Pizza', 'Ingredient', 'Italian food', 'Grapefruit', 'Sfiha', 'Recipe']","['Tie', 'Person', 'Pizza', 'Food']",whal is the difference between a jew and a pizza a pizza does not scream when you put it in the oven,1,3
36,59,40832.png,0,taking photo with a mosque,"taking photo with a mosque
","['Landmark', 'Tourism', 'Holy places', 'Historic site', 'Travel', 'Wonders of the world', 'Byzantine architecture', 'Tourist attraction', 'Khanqah', 'Place of worship']","['Person', 'Outerwear']",taking photo of the mosque,0,2
37,62,12548.png,0,running chocolate,"running chocolate
","['Product', 'Photo caption']",['Person'],runnings chocolates,0,5
38,63,12894.png,0,"imagine, if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money, but believe they are free","imagine, if you will
an entire country so ignorant that the people
wilfully give billions of dollars in order to
elect rich criminals to rule over their lives
and steal their money, but believe they are free.
","['Text', 'Photo caption', 'Font', 'Internet meme', 'Forehead', 'Photography', 'Adaptation', 'Media', 'Jaw', 'Advertising']","['Person', 'Outerwear']",imago if you will an entire country so ignorant that the people wilfully give billions of dollars in order to elect rich criminals to rule over their lives and steal their money but believe they are free,1,4
39,64,02476.png,0,im never doing a garden again!,"im never doing
a garden again!
","['Adaptation', 'Tree', 'Plant', 'Organism', 'Soil', 'Grass', 'Font', 'Gardener', 'Photography', 'Plantation']","['Person', 'Pants', 'Clothing']",i was never do a garden again,1,1
40,65,06937.png,0,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","coming soon to your neighborhood
300,000 islamic heathens demanding the usa change
to suit thier sick religion
","['Text', 'Atmospheric phenomenon', 'Adaptation', 'Human', 'Font', 'Photo caption']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Person']",come soon to your neigh b or hoods islamic heathen demanding the u a change to suit t hie r sicker religion,1,4
41,66,05762.png,0,"listen bitch, before you start fucking with me you should know my team is bigger","listen bitch, before you
start fucking with me
you should know my
A team is bigger
","['Photo caption', 'Photography', 'Poster', 'Font', 'Internet meme', 'Smile', 'Media', 'Album cover', 'Movie', 'Gesture']","['Person', 'Clothing', 'Bottle', 'Flower']",listen bitch before you start fucking with me you should know my a team is bigger,1,5
42,67,40259.png,0,masturbation it's not just for men,"masturbation
it's not just for men
","['Leg', 'Photography', 'Hand', 'Photo caption', 'Furniture', 'Mattress', 'Flesh', 'Advertising', 'Thigh']","['Brassiere', 'Person', 'Swimwear', 'Person']",masturbation it is not just for men,0,1
43,68,85072.png,0,what is this sleep of which you speak?,"what is this sleep
of which you
speak?
","['Hair', 'Forehead', 'Chin', 'Hairstyle', 'Nose', 'Photo caption', 'White-collar worker', 'Jaw', 'Magazine', 'Photography']","['Person', 'Clothing']",what is this sleep in which you speak,0,5
44,69,46537.png,0,"oakland mayor libby schaaf i saved 800 ms-13 rapists, murderers, molesters from ice","oakland mayor
libby schaaf
i saved 800
ms-13 rapists,
murderers, molesters
from ice
","['Internet meme', 'Photo caption', 'Media', 'Photography', 'Smile']","['Person', 'Necklace']",oakland mayor libby sch aaf i saved m rapist murderer molesters iced,1,4
45,71,39805.png,0,look both ways before you cross the street,"lookboth ways b
you cross the street-
","['Text', 'Adaptation', 'Organism', 'Font', 'Tree', 'Photography', 'Stock photography', 'Soil', 'History', 'Landscape']","['Person', 'Person', 'Person', 'Person']",looks both ways is you crossing the street,1,5
46,72,36072.png,0,"she said ""choke me daddy"" so i gave her 2 popeye's biscuits without a drink","she said ""choke me daddy""
so i gave her 2 popeye's biscuits
without a drink
","['Dish', 'Food', 'Junk food', 'Cuisine', 'Ingredient', 'Comfort food', 'Breakfast sandwich', 'Breakfast', 'Patty melt', 'Meal']","['Food', 'Food']",she said chokes me daddies so i gave her popeye a biscuit without a drink,1,5
47,75,38612.png,0,so there is this new implant that can actually fix stupid,"so there is
this new implant
that can
actually fix stupid
","['Bullet', 'Ammunition', 'Text', 'Gun accessory', 'Font']",['Packaged goods'],so there is this new implant that can actually fix stupider,1,5
48,77,34961.png,0,this cat is pushing a watermelon out of a lake. your argument is invalid,"this cat is pushing a watermelon out of a lake.
your argument is invalid.
","['Cat', 'Photo caption', 'Felidae', 'Whiskers', 'Small to medium-sized cats', 'Organism', 'Asian', 'Font', 'Photography', 'European shorthair']",['Cat'],this cat is pushing a watermelon out of the lake your argument is invalid,0,5
49,78,15803.png,1,what do you call a retarded jew? auschwistic,"what do you call a retarded jew?
auschwistic
","['Photography', 'Event', 'Photo caption', 'Gesture']","['Outerwear', 'Person', 'Outerwear', 'Person', 'Jacket']",what do you call a retarded jew the u chr is tic,0,5
50,80,38465.png,0,"yo dawg, i heard you like memes  so i made a meme mocking memes you so you can can mock me knocking memes while reading mock memes","yo dawg, i heard you like
memes
So i made a meñjemocking memesyousö joucan can nock
me knocking imemes while reading imock memes
","['Hair', 'Forehead', 'Hairstyle', 'Eyebrow', 'Nose', 'Photo caption', 'Cornrows', 'Smile', 'Jaw', 'S-curl']","['Person', 'Necklace', 'Clothing']",yoda wg i heard you like meme so i made a me joe mock meme yous jou can can nock me knocking i meme while reading i mock meme,1,5
51,82,75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"cannibal tribe irom indonesia
will take muslim refugess
in any amount
","['Poster', 'Tribal chief', 'Photo caption', 'Photography', 'Stock photography', 'Facial hair', 'History']","['Person', 'Clothing']",cannibal tribe i rom indonesia will take muslim refuges sinning any amount,1,2
52,83,18350.png,0,when you see the gas bill,"when you see
the gas bill
","['Product', 'Text', 'Font', 'Photo caption', 'Smile', 'Photography', 'Gesture']","['Person', 'Packaged goods', 'Top']",when you see the gas bill,1,5
53,87,05384.png,0,spending quality time with dad,"spending quality time with dad
","['Love', 'Romance', 'Photography', 'Photo caption', 'Adaptation', 'Happy', 'Gesture']","['Person', 'Person', 'Person', 'Top', 'Shoe', 'Top', 'Shoe', 'Top', 'Person', 'Glasses']",spends quality time for dad,0,1
54,88,01845.png,0,when you consume too much trans fat,"when you consume too much trans fat
","['Physical fitness', 'Fun', 'Muscle', 'Sitting', 'Vacation', 'Photography', 'Photo caption', 'Happy', 'Wave']","['Person', 'Brassiere', 'Swimwear']",when you consume too much trans fats,1,5
55,89,34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"when i was a boy
we didn't have things like adhd.
İtwas called being a little bastard
","['Cool', 'Outerwear', 'Brick', 'Photo caption', 'Child', 'Headgear', 'Photography', 'Brickwork', 'Cap', 'Fashion accessory']","['Hat', 'Person', 'Outerwear', 'Jacket']",when i was a boy we do not have things like adhd twas called being a littlest bastards,1,5
56,90,41385.png,0,y'all kids claims to be victims of slavery when we were the ones who lived it,"y'all kids claims to be
victims of slavery
when we were the ones
who lived it
","['Photo caption', 'Forehead', 'Photography']","['Person', 'Person']",you all kidded claimed to be victims of slavery when we were the ones who lived it,1,3
57,91,34508.png,1,jews are the problem. not just zionists or israelis. jews. all of them,"jews are the problem. not just zionists
or israelis. jews. all of them
","['Eyewear', 'Hair', 'Facial hair', 'Moustache', 'Beard', 'Chin', 'Human', 'Forehead', 'Photo caption', 'Glasses']","['Sunglasses', 'Person', 'Person']",jew are the problem not just zionist or israeli jew all of them,1,2
58,92,80521.png,0,him: the dishwasher is acting weird her: what's it doing? him: chopping fucking vegetables,"him: the dishwasher is acting weird
her:what's it doing?
him: chopping fucking vegetables
","['Plant', 'Tomato', 'Vegetable', 'Solanum', 'Font', 'Flower', 'Cherry Tomatoes', 'Nightshade family']","['Fruit', 'Food']",him the dishwasher is acting weirder her what is it doing him chopping fucking vegetables,1,1
59,94,09617.png,0,when you turn on the light and realize you have been fisting the wrong hole,"when you turn
on the light
and realize you have been
fisting the wrong hole
","['Hand', 'Soil', 'Finger', 'Adaptation', 'Organism', 'Human', 'Font', 'Photo caption', 'Rock', 'Thumb']","['Animal', 'Animal', 'Food']",when you turn on the light and realize you have been i stung the worst hole,1,5
60,97,35618.png,0,i woke up like this,"i woke up like this
","['Hair', 'Eyebrow', 'Text', 'Beauty', 'Hairstyle', 'Skin', 'Forehead', 'Lip', 'Photo caption', 'Long hair']","['Person', 'Pillow', 'Couch']",i woken up like this,0,5
61,98,05249.png,0,i am still so confused about the strategies in this game,"i am still so confușed
about the strategies in this game
","['Games', 'Font', 'Adaptation', 'Photo caption', 'Cash']","['Person', 'Tie', 'Food']",i is still so conf cued with the strategy in this game,0,5
62,100,78409.png,1,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,"i stand with hidler these was this time at auschwitz
when i needed medical atiention
and doctor mengele was there for me
","['Team', 'Crew']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Clothing', 'Clothing', 'Clothing', 'Clothing']",i stand with h idler these wan this time at auschwitz when i needed medicals a tie nti on and doctor men gels e was there for me,0,5
63,101,84269.png,0,just ordered the new anne frank puzzle,"just ordered the new
anne frank puzzle
","['Food', 'Cuisine', 'Bucket', 'Dish', 'Vegetarian food', 'Superfood']",['Food'],just order the new anne franks puzzle,1,5
64,102,68079.png,0,what's the difference between a walrus and a lesbian? one smells like fish and has a moustache and the other is a walrus!,"what's the difference between a walrus
and a lesbian?
one smells like fish and has a moustache
and the other is a walrus!
","['Snowy owl', 'Owl', 'Barn owl', 'Text', 'Bird', 'Adaptation', 'Wildlife', 'Photo caption', 'Bird of prey', 'Organism']",['Owl'],what ha the difference between a walrus and a lesbian one smells like fish and has a moustache and the other is a walrus,1,1
65,103,41537.png,0,i'm not transphobic i just think trans people shouldn't exist,"im not transphobic
i just think trans people shouldn't exist
","['Text', 'Heart', 'Hand', 'Finger', 'Line', 'Gesture', 'Font', 'Love', 'Thumb']",[],i is not trans phobic i just think trans people should not exist,1,1
66,104,12890.png,0,hitler getting his tan on,"hitler getting his tan on
","['Suit', 'Photography', 'Album cover', 'White-collar worker']","['Person', 'Suit', 'Tie', 'Glasses']",hitler got his tanner on,1,4
67,107,03271.png,0,when your wife and girlfriend dont get along,"when your wife and
girlfriend.dont get along
","['Finger', 'Text', 'Gesture', 'Thumb', 'Photo caption', 'Hand', 'Sign language', 'Font', 'Internet meme', 'Photography']","['Person', 'Clothing']",when your wife and girlfriend do not get along,1,1
68,108,35264.png,0,i like your cologne what is that? tricare? deers,"i like your cologne what is that?
tricare? deers
","['Face', 'Eyebrow', 'Forehead', 'Nose', 'Facial expression', 'Cheek', 'Head', 'Skin', 'Chin', 'Eye']","['Clothing', 'Person']",i like your cologne what is that tric is deers is,0,5
69,110,12348.png,0,"bitch, say something else","bitch, say something else
","['Eyewear', 'Glasses', 'Gesture', 'Suit', 'Cool', 'Photo caption', 'Hand', 'Finger', 'Photography', 'White-collar worker']","['Sunglasses', 'Person', 'Glasses']",bitch said something else,1,1
70,111,14052.png,1,this is racist but this is not?????,"this is
racist
but
this is
","['Text', 'Font', 'History', 'Art']",[],this is racist but this is,0,3
71,112,81064.png,0,"your tits... in my hands, put them you will","your tits. in my hands,put them you wll
","['Yoda', 'Fictional character', 'Superhero', 'Photo caption']","['Person', 'Sculpture']",your tits in my hand put them you will,1,5
72,113,74391.png,0,there must be some way this victimizes me,"there must be some way
this victimizes me
","['Product', 'Text', 'Job', 'Photo caption', 'Photography', 'Advertising', 'Sitting', 'Learning', 'Brand', 'Desk']","['Person', 'Outerwear', 'Lighting', 'Luggage & bags', 'Hat']",there must be some way this victimizes is me,0,5
73,114,36152.png,0,"when your eating out your grandma and you taste horse cum then think to yourself ""oh that's how she died","when your eating out your grandma
and you taste horse cum then think to yourself
""oh that's how she died
","['Face', 'Facial expression', 'Eyebrow', 'Head', 'Forehead', 'Chin', 'Text', 'Nose', 'Smile', 'Human']",['Person'],when your eating out your grandmas and you taste horse cum then think to yourself oh that is how she died,0,5
74,115,80256.png,0,damn girl that's a policy i could get behind,"damn girl
that's a policy i could get behind
","['Spokesperson', 'Public speaking', 'Photo caption', 'Speech', 'Job', 'Businessperson', 'Orator', 'Event', 'Media', 'Official']","['Tie', 'Microphone', 'Person', 'Suit']",damn girl that has a policy i can get behind,1,5
75,116,70532.png,0,it's important to listen to your elders please don't forget!,"it's important-to listen to your elders
please don't forget!
","['Photo caption', 'Beard', 'Photography', 'Font', 'Facial hair', 'Internet meme']","['Person', 'Tie', 'Hat']",it is important to listen to your elders please do not forget,0,5
76,117,18730.png,0,immigration invasion learn the difference,"immigration invasion learn the difference
","['Adaptation', 'Poster', 'Photography', 'Art']","['Person', 'Person', 'Person', 'Person', 'Person', 'Person', 'Outerwear', 'Pants', 'Pants', 'Tie']",immigrations invasions learn the difference,0,5
77,118,75216.png,0,want one as a slave when you watch how slow they work and you wonder why anyone would,"want one as a slave when you watch how slow they work
and you wonder why anyone would
","['Vertebrate', 'Mammal', 'Burro', 'Terrestrial animal', 'Wildlife', 'Snout', 'Pack animal', 'Adaptation', 'Livestock', 'Zoo']",['Mule'],want one a a slave when you watch how slow they work and you wonder why anyone would,1,5
78,120,42153.png,0,we build our houses with stone,"we build our houses with stone
","['Turban', 'Clothing', 'Beanie', 'Bonnet', 'Headgear', 'Cap', 'Knit cap', 'Stock photography', 'Fashion accessory', 'Flat cap']","['Hat', 'Person', 'Hat', 'Outerwear']",we built our house in stoned,0,2
79,121,83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"whats the difference between
santa and the jews
santa goes down the chimney
","['Forehead', 'Photo caption', 'Album cover', 'Poster', 'Photography', 'Font', 'Movie']","['Clothing', 'Person']",what is the difference between santa and the jew santa goes down the chimney,1,3
80,122,18673.png,0,how to remember kid in hot car keep 2nd road beer with them,"ICHTO remember Ad mhot car kepznd road beerwith them
wwww
","['Product', 'Child', 'Room', 'Toddler', 'Home', 'Interior design', 'Photo caption', 'Food']","['Person', 'Lighting', 'Shoe', 'Chair', 'Packaged goods']",on remember adm hot car kep znd road beer with them waw,1,5
81,124,69412.png,0,best part about a hooker dying on you? the 2nd hour is free,"best part about a
hooker dying on you?
the 2nd hour is free
","['Water', 'Glass', 'Hand', 'Photo caption']","['Shoe', 'Tableware', 'Person', 'Packaged goods', 'Shoe']",goods part of the hooker dying for you the nd hour is free,0,1
82,128,78351.png,0,subway is similar to prostitution you pay someone else to do your wife's job,"subway is
similar to pr0stitution
you pay someone else
to do your wife's job
","['Forehead', 'Chin', 'Internet meme', 'Photo caption', 'Jaw', 'Photography', 'Media', 'Smile', 'Fictional character']","['Tie', 'Person', 'Shirt']",subway is similar to pr st i tut ion you pay someone else to do your wife a job,1,5
83,129,79856.png,0,my friends coming to see me after a crazy friday night,"my friends coming to see me aiter a crazy friday night
","['Job', 'Room', 'Learning', 'Child']","['Person', 'Person', 'Glasses']",my friend came to see me the i ter the crazier friday night,1,5
84,130,71436.png,0,trump supporters be like mexicans stole my teeth,"trump supporters be like
mexicans stole my teeth
","['Hair', 'Facial hair', 'Beard', 'Photo caption', 'Forehead', 'Moustache', 'Human', 'Adaptation', 'Photography', 'Internet meme']",['Person'],trump supporters is like mexican stole my teeth,1,4
85,131,03258.png,1,"i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!","i heard we can get
free steroids in
australia
please help fed and
house this poor,
defenceless refugee.
don't be racist
and let me in!
","['Internet meme', 'Photo caption', 'Muscle', 'Bodybuilding', 'Font', 'Photography', 'Fictional character']","['Person', 'Hat', 'Person', 'Top', 'Hat']",i hear we can get free steroids in australia please help feed and house this poor defenceless refugee do not be racist and let me in,0,4
86,133,06431.png,0,when the employee asks what bra size you wear,"when the employee asks
what bra size you wear
","['Hair', 'Blond', 'Hairstyle', 'Fashion', 'Lip', 'Long hair', 'Hair coloring', 'Photo caption', 'Event', 'Photography']","['Person', 'Person', 'Dress', 'Dress']",when an employee asks what bra size you wear,1,1
87,135,34901.png,0,gays aids it really be like that,"gays aids
it really be like that
","['Knight', 'History', 'Middle ages', 'Conquistador', 'Ancient history']","['Person', 'Animal', 'Person', 'Animal', 'Person', 'Luggage & bags']",gayest aid it really is like that,0,1
